"","Team","Total","WinRate"
"1","Atlanta Hawks",41,0.560975609756098
"2","Boston Celtics",41,0.731707317073171
"3","Brooklyn Nets",41,0.317073170731707
"4","Charlotte Hornets",41,0.536585365853659
"5","Chicago Bulls",41,0.609756097560976
"6","Cleveland Cavaliers",41,0.75609756097561
"7","Detroit Pistons",41,0.585365853658537
"8","Indiana Pacers",41,0.707317073170732
"9","Miami Heat",41,0.560975609756098
"10","Milwaukee Bucks",41,0.560975609756098
"11","New York Knicks",41,0.463414634146341
"12","Orlando Magic",41,0.390243902439024
"13","Philadelphia 76ers",41,0.414634146341463
"14","Toronto Raptors",41,0.682926829268293
"15","Washington Wizards",41,0.731707317073171
