"","Team","total","WinRate"
"1","Dallas Mavericks",41,0.51219512195122
"2","Denver Nuggets",41,0.536585365853659
"3","Golden State Warriors",41,0.878048780487805
"4","Houston Rockets",41,0.731707317073171
"5","Los Angeles Clippers",41,0.707317073170732
"6","Los Angeles Lakers",41,0.414634146341463
"7","Memphis Grizzlies",41,0.585365853658537
"8","Minnesota Timberwolves",41,0.48780487804878
"9","New Orleans Pelicans",41,0.51219512195122
"10","Oklahoma City Thunder",41,0.682926829268293
"11","Phoenix Suns",41,0.365853658536585
"12","Portland Trail Blazers",41,0.609756097560976
"13","Sacramento Kings",41,0.414634146341463
"14","San Antonio Spurs",41,0.75609756097561
"15","Utah Jazz",41,0.707317073170732
